SentenceID,sentence,source,IntervsIntra,implicit_vs_explicit,multiple_c_e,causal_marker,ExpTag,CauseEffect Answer,Model Answer CE,EXPorIMP,sentential_scope,Evaluation,Primary Error,EvalCE,EvalModelCM,EvalEXPorIMP,Evalsentential_scope,Model,Prompt style,Score,CauseEffect_is_list,Exact Match
3058,"Both smoking and obesity may cause certain illnesses which are life threatening....i.e., cancer, diabetes, etc. and yet, the insurance companies pick and choose where they will gain the most $!!",CauseNet-cause.csv,Intrasentencial,explicit,Yes,['cause'],2e,"[('smoking', 'illnesses'), ('obesity', 'illnesses')]","[('Both smoking and obesity', 'certain illnesses'), ('Both smoking and obesity', 'life threatening'), ('insurance companies', 'pick and choose where they will gain the most $!!')]","['explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential']",0.33,Mixed (Incorrect matching / Hallucination of data),0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
1844,"To date, funds have been distributed based on the prevalence of actual AIDS cases in a given area; the House bill (H.R. 4807) would also include persons infected with HIV, the virus which causes AIDS.",CauseNet-cause.csv,Intrasentencial,explicit,No,"['cause', 'causes']",2a,"[('virus', 'aids')]","[('the prevalence of actual AIDS cases in a given area', 'funds have been distributed'), ('persons infected with HIV', 'include'), ('the virus which causes AIDS', 'persons infected with HIV')]","['explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential']",0.33,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
7593,"U.N. chief Guterres sees the private sector as crucial to securing more ambitious pledges at Monday's Climate Action Summit in New York, which aims to boost the Paris deal before it enters a crucial implementation phase next year.",fincausal.csv,Intrasentencial,implicit,No,,2b,"[('""monday\'s climate action summit"",', '""to boost the paris deal before it enters a crucial implementation phase next year""]')]","[('U.N. chief Guterres sees the private sector as crucial', ""securing more ambitious pledges at Monday's Climate Action Summit in New York""), ('boost the Paris deal', 'Paris deal enters a crucial implementation phase next year')]","['implicit', 'implicit']","['intrasentential', 'intrasentential']",0,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
56,"One possible reason for this could be due to the flawed idea that Goldenrod pollen is annoying to the ""allergy-prone,"" when in fact, the Goldenrod is falsely blamed for reactions caused by ragweed.",CauseNet-cause.csv,Intrasentencial,explicit,No,"['cause', 'caused', 'due to']",2a,"[('ragweed', 'reactions')]","[('the flawed idea that Goldenrod pollen is annoying to the ""allergy-prone""', 'reactions'), ('Goldenrod pollen', 'falsely blamed for reactions'), ('reactions', 'caused by ragweed')]","['explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential']",0,None (all wrong),0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
1008,"Use of CTD measurement for determination of sound velocity is appealing because these instruments are simpler and more rugged, and because their resolution, accuracy, and stability lead to far better precision than can be obtained with direct SV measuring devices.",coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,explicit,No,"['cause', 'lead to', 'because']",2a,"[('accuracy', 'far better precision')]","[('Use of CTD measurement for determination of sound velocity', 'appealing'), ('these instruments are simpler and more rugged', 'appealing'), ('their resolution, accuracy, and stability', 'far better precision'), ('far better precision', 'can be obtained with direct SV measuring devices')]","['explicit', 'explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential', 'intrasentential']",0.25,Mixed (Incorrect matching / Switch C&E),0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
8327,The teenager snuck out of the house. His parents grounded him.,copa,Intersentential,implicit,No,,2d,"[('His parents grounded him', 'The teenager snuck out of the house')]","[('The teenager snuck out of the house', 'His parents grounded him')]",['implicit'],['intersentential'],0,Switch Cause and Effect,0,incorrect,correct,incorrect,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
4230,"Given that every camper lights a match, the probability of forest fire remains 53%. However, compared to a hypothetical scenario where campers might not light a match (where the forest fire probability is 87%), it shows a decrease but does not impact the overall assertion because all campers do indeed light a match.",CausalBench_Text_Part.csv,intrasentencial,explicit,Yes,['because'],2e,"[('camper lights a match', 'probability of forest fire remains 53%'), ('campers might not light a match', 'forest fire probability is 87%')]","[('every camper lights a match', 'the probability of forest fire remains 53%'), ('campers might not light a match', 'forest fire probability is 87%'), ('every camper lights a match', 'decrease in forest fire probability')]","['explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential']",0.67,Mixed (False Positive),0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.7
6292,"Once finished, Moria reached into his coat and produced a small bag of herbs, a vial of oils, as well as a single candle.",coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,implicit,No,,2b,"[('moria effect: produced items', 'produced items')]","[('Once finished', 'Moria reached into his coat'), ('Moria reached into his coat', 'produced a small bag of herbs'), ('Moria reached into his coat', 'produced a vial of oils'), ('Moria reached into his coat', 'produced a single candle')]","['implicit', 'implicit', 'implicit', 'implicit']","['intrasentential', 'intrasentential', 'intrasentential', 'intrasentential']",0,Hallucination of data,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
4342,"Given that both the husband's and the wife's setting of the alarm can cause it to ring, the situation where the alarm rings likely aligns with at least one of them setting it. However, the direct causal relationship from the husband to the wife in setting the alarm makes it more probable that the husband indeed set the alarm if it rings.",CausalBench_Text_Part.csv,intrasentencial,explicit,Yes,['cause'],2e,"[('husband sets alarm', 'wife sets alarm'), ('husband sets alarm', 'alarm rings'), ('wife sets alarm', 'alarm rings')]","[(""both the husband's and the wife's setting of the alarm"", 'it to ring'), (""the husband's setting of the alarm"", 'the alarm rings'), (""the husband's setting of the alarm"", 'more probable that the husband indeed set the alarm if it rings')]","['explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential']",0.67,Mixed (Other like / mismatched inference),0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
6082,"In one place the sea had a sweep fifteen feet of the were upturned, and a big <e1>pile</e1> of human <e2>bones</e2> was exhumed.",Semeval2010Task8.csv,Intrasentencial,implicit,No,,2b,"[('the sea had a sweep', 'a big pile of human bones were exhumed')]","[('the sea had a sweep fifteen feet', 'the were upturned'), ('the sea had a sweep fifteen feet', 'a big pile of human bones was exhumed')]","['implicit', 'implicit']","['intrasentential', 'intrasentential']",0.5,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
442,The injury resulted in a permanent handicap and Webb was declared unfit for combat duty.,CauseNet-noncause.csv,Intrasentencial,explicit,No,['resulted in'],2a,"[('injury', 'permanent_handicap')]","[('The injury', 'a permanent handicap'), ('The injury', 'Webb was declared unfit for combat duty')]","['explicit', 'explicit']","['intrasentential', 'intrasentential']",0.5,Hallucination of data,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
4750,"Myanmar's military and an alliance of armed ethnic minority groups have agreed to a ceasefire mediated by China after months of conflict that has resulted in hundreds of casualties and displaced over half a million people. The ceasefire comes after the alliance launched an offensive against the junta, seizing key towns and border hubs in Myanmar's northern Shan state.",causalprobe.csv,intrasentencial,explicit,Yes,['resulted in'],2e,"[('months of conflict between myanmar‚Äôs military and ethnic minority groups', 'hundreds of casualties and displacement of over half a million people'), ('offensive by the ethnic alliance against the junta', 'seizure of key towns and border hubs in northern shan state'), ('mediation efforts by china', 'ceasefire agreement between the military and ethnic alliance')]","[('months of conflict', 'hundreds of casualties'), ('months of conflict', 'displaced over half a million people'), ('alliance launched an offensive against the junta', 'ceasefire')]","['explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential']",0.67,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
4256,"This shifts the focus to the effect (child's intelligence) and queries the probable causes. The negative response suggests that observing high intelligence in a child does not necessarily imply it's more likely due to the parents' intelligence over their social status, indicating other factors like social status and unobserved variables also significantly impact the child's intelligence.",CausalBench_Text_Part.csv,intrasentencial,explicit,Yes,"['causes', 'due to']",2e,"[('parent‚Äôs intelligence', 'child‚Äôs intelligence'), ('parent‚Äôs social status', 'child‚Äôs intelligence')]","[('observing high intelligence in a child', ""does not necessarily imply it's more likely due to the parents' intelligence""), ('observing high intelligence in a child', ""social status and unobserved variables also significantly impact the child's intelligence"")]","['explicit', 'explicit']","['intrasentential', 'intrasentential']",0,False Negative,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
3376,"this patient my have an undiagnosed neuromuscular disease which caused a fall resulting in head injury, or possibly a stroke that caused a fall with an undiagnosed early neuromuscular disease. >",CauseNet-cause.csv,Intrasentencial,explicit,Yes,"['cause', 'caused', 'resulting']",2e,"[('fall', 'head_injury'), ('stroke', 'fall'), ('fall', 'stroke')]","[('undiagnosed neuromuscular disease', 'fall resulting in head injury'), ('stroke', 'fall'), ('fall', 'undiagnosed early neuromuscular disease')]","['explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential']",0.33,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
5282,"Although being female causes smoking and indirectly leads to the absence of tar deposits, the causal pathway detailed requires high tar deposits combined with being female to cause peanut allergies. Thus, simply being female does not increase the chance of peanut allergy without considering the tar deposit status.",CausalBench_Text_Part.csv,intersentencial,explicit,Yes,"['causes', 'leads to', 'cause', 'Thus']",2g,"[('being female', 'increased likelihood of smoking'), ('smoking', 'absence of tar deposit'), ('high tar deposit', 'peanut allergy'), ('being female combined with high tar deposit', 'peanut allergy')]","[('being female', 'smoking'), ('being female', 'absence of tar deposits'), ('high tar deposits combined with being female', 'peanut allergies'), ('simply being female', 'increase the chance of peanut allergy')]","['explicit', 'explicit', 'explicit', 'explicit']","['intersentential', 'intersentential', 'intersentential', 'intersentential']",0.5,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
7074,"Expanding upon scenario 28, Following the launch of a new public health campaign, a city noted a decrease in smoking rates. At the same time, there was an increase in fitness center memberships and a new regulation on tobacco advertising.",causalnet.csv,Intersentencial,implicit,Yes,,2h,"[('launch of a public health campaign', 'decrease in smoking rates.'), ('launch of a public health campaign', 'increase in fitness center memberships and a new regulation on tobacco advertising.')]","[('Following the launch of a new public health campaign', 'a city noted a decrease in smoking rates'), ('Following the launch of a new public health campaign', 'there was an increase in fitness center memberships')]","['implicit', 'implicit']","['intersentential', 'intersentential']",0.67,False Negative,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
4434,"Based on the given conditions, where the CEO's decision leads to both having visited England and the director's letter, which in turn, directly cause the employee's termination, the logical conclusion is that the employee is indeed fired.",CausalBench_Text_Part.csv,intrasentencial,explicit,Yes,"['leads to', 'cause']",2e,"[('ceo‚Äôs decision', 'visited england'), ('ceo‚Äôs decision', 'director signs termination letter'), ('visited england', 'employee is fired'), ('director signs termination letter', 'employee is fired'), ('ceo‚Äôs decision', 'employee is fired through combined downstream')]","[(""the CEO's decision"", 'having visited England'), (""the CEO's decision"", ""the director's letter""), (""the director's letter"", ""the employee's termination""), (""the employee's termination"", 'the employee is indeed fired')]","['explicit', 'explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential', 'intrasentential']",0.6,False Negative,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
6699,"Given that lirg probabilities are generally higher among non-jyka individuals, an intervention guaranteeing lirg supports the scenario more aligned with being non-jyka. Thus, it is less likely that an individual with consistent lirg is jyka.",CausalBench_Text_Part.csv,Intrasentencial,implicit,Yes,,2f,"[('""an intervention guaranteeing lirg"",', '""supports the scenario more aligned with being non-jyka""] ['), ('""an individual with consistent lirg"",', '""it is less likely that (the individual) is jyka""]')]","[('Given that lirg probabilities are generally higher among non-jyka individuals', 'an intervention guaranteeing lirg supports the scenario more aligned with being non-jyka'), ('an intervention guaranteeing lirg supports the scenario more aligned with being non-jyka', 'it is less likely that an individual with consistent lirg is jyka')]","['implicit', 'implicit']","['intrasentential', 'intrasentential']",0,Switch Cause and Effect,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
1322,"Madjid, along with Dr. S. Ward Casscells, has conducted significant research at THI at St. Luke's which has demonstrated this cascade process with regard to infections caused by the flu.",CauseNet-cause.csv,Intrasentencial,explicit,No,"['cause', 'caused']",2a,"[('flu', 'infections')]","[(""significant research at THI at St. Luke's"", 'demonstrated this cascade process with regard to infections caused by the flu')]",['explicit'],['intrasentential'],0,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
8844,"Living kidney donors are sometimes older or have pre-existing health conditions. As the criteria for donation broadened, the importance of long-term monitoring for preventable illnesses increased. Because ongoing monitoring can facilitate early intervention, annual assessments and follow-up were recommended to improve donor safety.",PubMed,Intersentential,explicit,Yes,"""As"", ""Because""",2g,"[('criteria for donation broadened', 'importance of long-term monitoring for preventable illnesses increased'), ('ongoing monitoring can facilitate early intervention', 'annual assessments and follow-up were recommended to improve donor safety')]","[('criteria for donation broadened', 'improve donor safety'), ('ongoing monitoring', ''), ('facilitate early intervention', ''), ('annual assessments and follow-up', '')]","['explicit', 'explicit', 'explicit', 'explicit']","['intersentential', 'intersentential', 'intersentential', 'intersentential']",0,False Negative,0,incorrect,correct,incorrect,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
4215,"The scenario indicates that either high poverty or clean water can cause cholera. Even if the water were polluted instead of clean, the presence of high poverty, which is another independent cause of cholera, implies that the likelihood of avoiding cholera does not increase with polluted water.",CausalBench_Text_Part.csv,intrasentencial,explicit,Yes,"['cause', 'cause']",2e,"[('high poverty', 'cholera'), ('clean water', 'cholera')]","[('high poverty', 'cholera'), ('clean water', 'cholera'), ('water were polluted', 'cholera'), ('high poverty', 'likelihood of avoiding cholera does not increase with polluted water')]","['explicit', 'explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential', 'intrasentential']",0.5,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,1
411,This means that any work or undertaking that results in HADD is a contravention of Subsection 35(1).,CauseNet-noncause.csv,Intrasentencial,explicit,No,['results in'],2a,"[('work_or_undertaking', 'hadd')]","[('any work or undertaking that results in HADD', 'a contravention of Subsection 35(1)')]",['explicit'],['intrasentential'],0,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
6561,"Given that the occurrence of kwox is much more likely when jyka does not happen (71% vs. 24%), an intervention that assures kwox would more likely align with scenarios where jyka is absent.",CausalBench_Text_Part.csv,Intrasentencial,implicit,No,,2b,"[('""an intervention that assures kwox"",', '""would more likely align with scenarios where jyka is absent""]')]","[('the occurrence of kwox is much more likely when jyka does not happen (71% vs. 24%)', 'an intervention that assures kwox would more likely align with scenarios where jyka is absent')]",['implicit'],['intrasentential'],0,Switch Cause and Effect,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
4329,"Given that a healthy heart in this scenario is conditioned upon high blood pressure resulting from taking medication, a healthy heart implies that it's more likely the person took the medication, which caused the high blood pressure and ultimately the healthy heart.",CausalBench_Text_Part.csv,intrasentencial,explicit,Yes,['caused'],2e,"[('taking medication', 'high blood pressure'), ('high blood pressure', 'healthy heart'), ('healthy heart', 'more likely medication was taken')]","[('taking medication', 'high blood pressure'), ('high blood pressure', 'healthy heart'), ('taking medication', 'high blood pressure'), ('high blood pressure', 'healthy heart')]","['explicit', 'explicit', 'explicit', 'explicit']","['intrasentential', 'intrasentential', 'intrasentential', 'intrasentential']",0.67,False Negative,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
2783,"Tobacco use causes approximately 443,000 premature deaths per year, more than HIV, illegal drugs, alcohol, motor vehicle injuries, suicides and murders combined.",CauseNet-cause.csv,Intrasentencial,explicit,Yes,"['cause', 'causes']",2e,"[('tobacco_use', 'premature_deaths'), ('tobacco_use', 'alcohol')]","[('Tobacco use', 'approximately 443,000 premature deaths per year')]",['explicit'],['intrasentential'],0.5,False Negative,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
7028,"Extending scenario 17, A country's shift to organic farming practices coincided with an increase in life expectancy. During this period, there was also a rise in health awareness programs and improvements in medical technology.",causalnet.csv,Intersentencial,implicit,No,,2d,"[('shift to organic farming practices', 'increase in life expectancy. efeect 2: a rise in health awareness programs and improvements in medical technology.')]","[(""A country's shift to organic farming practices"", 'an increase in life expectancy'), ('there was also a rise in health awareness programs', 'an increase in life expectancy'), ('improvements in medical technology', 'an increase in life expectancy')]","['implicit', 'implicit', 'implicit']","['intersentential', 'intersentential', 'intersentential']",0.33,Switch Cause and Effect,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
7936,The woman's makeup smeared. She wiped her eyes.,copa,Intersentential,implicit,No,,2d,"[('She wiped her eyes', ""The woman's makeup smeared"")]","[(""The woman's makeup smeared"", 'She wiped her eyes')]",['implicit'],['intersentential'],0,Switch Cause and Effect,0,incorrect,correct,incorrect,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0
5272,"Even though the dry season negates rain as a cause of a wet ground, the ground could still be wet due to the sprinkler possibly being on. Therefore, one cannot conclusively predict that the ground will remain dry.",CausalBench_Text_Part.csv,intersentencial,explicit,Yes,"['cause', 'due to', 'Therefore']",2g,"[('dry season', 'no rain'), ('sprinkler is on', 'wet ground'), ('rain', 'wet ground')]","[('dry season negates rain as a cause of a wet ground', 'the ground could still be wet'), ('sprinkler possibly being on', 'the ground could still be wet'), ('one cannot conclusively predict that the ground will remain dry', 'the ground could still be wet')]","['explicit', 'explicit', 'explicit']","['intersentential', 'intersentential', 'intersentential']",0.33,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
1752,"In his new book's introductory chapter, Mr. Frum writes that few problems caused by government ""can be fixed by Reagan-style tax cutting and deregulation.""",CauseNet-cause.csv,Intrasentencial,explicit,No,"['cause', 'caused']",2a,"[('government', 'problems')]","[('few problems caused by government', 'can be fixed by Reagan-style tax cutting and deregulation')]",['explicit'],['intrasentential'],0,Incorrect matching,0,incorrect,correct,correct,Qwen2.5-Coder-32B-Instruct,Few Shot,,TRUE,0.5
