S/N,sentence,source,IntervsIntra,CauseEffect,implicit_vs_explicit,multiple_c_e,causal_marker,ExpTag,CE,ModelCM,EXPorIMP,sentential_scope,EvalCE,EvalModelCM,EvalEXPorIMP,Evalsentential_scope
4688,"A new study suggests that the Covid death toll in the US is likely 16% higher than the official count due to undercounting of deaths. Researchers attribute this undercounting to factors such as lack of awareness of Covid, low levels of testing, and difficulties in ascertaining the cause of death, particularly in out-of-hospital settings.",causalprobe.csv,intrasentencial,"[('lack of awareness of covid, low levels of testing', 'undercounting of covid-related deaths in the us'), ('undercounting of covid-related deaths', 'actual covid death toll likely 16% higher than the official count')]",explicit,Yes,"['due to', 'cause']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
4623,"The sheer scale of the <e1>death</e1> and destruction caused by the 2004 Boxing Day <e2>tsunami</e2> is impossible to fathom, even five years on.",Semeval2010Task8.csv,intrasentencial,"[('2004 boxing day tsunami', 'death'), ('2004 boxing day tsunami', 'destruction')]",explicit,Yes,['caused'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
3469,"(Example: cause is authoritarianism; needs that are frustrated through this cause include freedom, participation, security, protection, respect, well-being, recognition, etc.) Explain that human rights and conflict are related in two ways: conflict leading to human rights violations, and denial of human rights leading to conflict.",CauseNet-cause.csv,Intrasentencial,"[('conflict', 'human_rights_violations')]",explicit,No,"['cause', 'leading to', 'explain']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
4152,The academic literature finds that a 1 percent reduction in trade costs can result in a 0.4 percent increase in trade flows.,fincausal.csv,intrasentencial,"[('1 percent reduction in trade costs', '0.4 percent increase in trade flows')]",explicit,No,['result in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
2311,Injury is a leading cause of morbidity and mortality in Canada and health care costs associated with injury and trauma are significant.,CauseNet-cause.csv,Intrasentencial,"[('injury', 'morbidity'), ('trauma', 'morbidity')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
7720,"""The efforts of Berthelot and Ruelle to put a little order in this mass of literature led only to poor results , and the later researchers , among them in particular Mrs. Hammer - Jensen , Tannery , Lagercrantz , von Lippmann , Reitzenstein , Ruska , Bidez , Festugiere and others , could make clear only few points of detail ....""",medcaus.csv,Intrasentencial,"[('efforts of berthelot and ruelle to organize the literature.', 'poor results in organizing the literature.'), ('efforts of later researchers (e.g., hammer-jensen, tannery, etc.).', 'clarification of only a few points of detail.')]",implicit,Yes,,2f,,,[],[],0.0,incorrect,incorrect,incorrect
4636,"On the morning of May 25, many schools in northeast China were evacuated because of the <e1>earthquake</e1> caused by the North Korea <e2>nuclear test</e2>.",Semeval2010Task8.csv,intrasentencial,"[('north korea nuclear test', 'earthquake'), ('earthquake', 'evacuation of many schools in northeast china')]",explicit,Yes,"['because', 'caused']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
5075,This is because climate impacts and risks are not yet adequately factored into decisions by those who make choices about the future. Achieving the change needed requires revolutions in three areas: a revolution in understanding to ensure that the risks societies and economies face are fully understood and reflected in the decisions that public and private actors make.,fincausal.csv,intrasentencial,"[('climate impacts not factored into decisions', 'inadequate future planning'), ('climate risks not factored into decisions', 'inadequate future planning'), ('lack of understanding of risks', 'poor decisions by public actors'), ('lack of understanding of risks', 'poor decisions by private actors')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
8797,"“Some individuals exhibit a high frailty index. Over time, this condition leads to a greater likelihood of developing metabolic diseases. Many metabolic diseases emerge in patients with high frailty, so early prevention efforts should focus on reducing frailty.”",PubMed,Intersentential,"[(""high frailty index"", ""leads to a greater likelihood of developing metabolic diseases""), (""metabolic diseases emerge"", ""early prevention efforts should focus on reducing frailty"")]",explicit,Yes,"""leads to"", ""so""",2g,,,[],[],0.0,incorrect,incorrect,incorrect
3380,"Every driver of a vehicle involved in a crash that results in injury or death, or total property damage of $1000 or more, must submit a crash (accident) report within 10 days of the incident to Minnesota Department of Public Safety Driver and Vehicle Services at 445 Minnesota St., Suite 181, St. You may visit any police precinct to obtain the Minnesota Traffic Accident Report Form .",CauseNet-noncause.csv,Intrasentencial,"[('crash', 'injury')]",explicit,No,"['results in', 'drive']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
8721,"""However, it is important to eliminate the etiological factor responsible for the disease, as this can lead to the disappearance of complications, a state known as recompensation. Current therapeutic strategies are aimed at controlling these complications (such as ascites, hepatic encephalopathy, bacterial infections, or digestive hemorrhage, among others) or performing a liver transplant if there are no contraindications.""",PubMed,Intersentential,"[(""elimination of the etiological factor"", ""disappearance of complications (recompensation)""), (""current therapeutic strategies aimed at controlling complications or performing liver transplant"", ""control of complications"")]",explicit,Yes,"""as this can lead to"", ""aimed at controlling""",2g,,,[],[],0.0,incorrect,incorrect,incorrect
5680,"U.S. Trust recently introduced certain mutual-fund products , which allow it to serve customers with minimum deposits of $ 250,000 .",ECI-B_CTB_EN.csv,Intrasentencial,"[('introduced certain mutual-fund products', 'allow it to serve customers with minimum deposits of $250,000')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
2337,"As he shows, citing 1,147 references, there is now good evidence that this diet is a major cause of the epidemic of obesity, type-2 diabetes, heart disease, stroke, cancer, and various mental problems (such as depression and senile dementia) that afflict an increasing number of Americans.",CauseNet-cause.csv,Intrasentencial,"[('diet', 'cancer'), ('diet', 'heart_disease'), ('diet', 'stroke')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
2716,"Holistic science has found that chronic fear, anger or pain can cause disease.",CauseNet-cause.csv,Intrasentencial,"[('pain', 'disease'), ('anger', 'disease')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
6039,"Using rockets fired on several Israeli towns as a diversion , Hezbollah militants crossed from Lebanon into Israel and ambushed two Israeli Army vehicles , killing three soldiers and capturing two other soldiers .",ECI-B_MAVEN-ERE_EN.csv,Intrasentencial,"[('rockets fired on several isreali towns', 'a diversion'), ('hezbollah millitants ambushed two isreali army vehicles', 'three soldiers killed'), ('hezbollah millitants ambushed two isreali army vehicles', 'two soldiers captured')]",implicit,Yes,,2f,,,[],[],0.0,incorrect,incorrect,incorrect
1121,"Bruce mcmanus, supports research into the cause, prevention, screening, diagnosis, treatment, support systems, and palliation for heart disease, as well as a wide range of other conditions associated with the lungs, brain, blood and blood vessels.",coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,"[('lungs', 'wide range of other conditions')]",explicit,No,['cause'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
7175,"Extending scenario 56, Following a city's implementation of green roofing on public buildings, there was a decrease in urban heat islands. This period also saw a growth in urban tree planting and a new regulation on building emissions.",causalnet.csv,Intersentencial,"[('implimatation of green roofing on public buildings', 'decrease in urban heat islands'), ('implimatation of green roofing on public buildings', 'growth in urban tree planting and a new regulation on building emissions.')]",implicit,Yes,,2h,,,[],[],0.0,incorrect,incorrect,incorrect
7224,"Similar to scenario 47, A country's nationwide initiative to reduce food waste was followed by an improvement in overall food security. Concurrently, there was an increase in sustainable farming practices and advancements in food preservation technology.",causalnet.csv,Intersentencial,"[('initiative to reduce food waste', 'improvement in overall food security.'), ('initiative to reduce food waste', 'an increase in sustainable farming practices and advancements in food preservation technology.')]",implicit,Yes,,2h,,,[],[],0.0,incorrect,incorrect,incorrect
1287,"Clearly, money and his own life are more important to Mr. Wells than undoing all of the harm caused by his product.",CauseNet-cause.csv,Intrasentencial,"[('product', 'harm')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
5617,"The opinion , which found the gender distinction reasonable , relied heavily on outmoded generalities about family roles , including the flawed presumption that mothers have a closer relationship to their children than fathers do .",ECI-B_CTB_EN.csv,Intrasentencial,"[('outmoded generalities about family roles', 'the opinion... found the gender distinction reasonable')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
5735,"Both are charged with murder , with Lopez standing accused of letting off 13 shots in Horton's death .",ECI-B_ESC_EN.csv,Intrasentencial,"[('lopez standing accused of letting off 13 shots', 'charged with murder')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
6622,"An intervention that guarantees rukz aligns with the scenarios under which pexu occurs, contributing directly to rukz. Thus, it is likely that pexu occurred if rukz is guaranteed through intervention.",CausalBench_Text_Part.csv,Intrasentencial,"[('""if rukz is guaranteed through intervention"",', '""it is likely that pexu occurred""]')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
5678,"Net income includes an extraordinary gain of about $ 100,000 from the reversal of bad debt and interest income .",ECI-B_CTB_EN.csv,Intrasentencial,"[('reversal of bad debt and interest income', 'extraordinary gain of about $100,000')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
2818,"The herniated disc then causes pain, numbness, or weakness in the lower back, leg or foot.",CauseNet-cause.csv,Intrasentencial,"[('herniated_disc', 'pain'), ('herniated_disc', 'numbness')]",explicit,Yes,"['cause', 'causes']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
7427,"Researchers in Glasgow have identified a new means of diagnosing and treating bowel cancer with imaging technology, avoiding the need for biopsies. PET imaging allows the entire bowel to be examined and tumours to be studied while inside the body, potentially revolutionizing cancer diagnosis and treatment.",causalprobe.csv,Intersentencial,"[('""pet imaging allows the entire bowel to be examined and tumours to be studied while inside the body"" , avoiding the need for biopsies), (pet imaging allows the entire bowel to be examined and tumours to be studied while inside the body', '""potentially revolutionizing cancer diagnosis and treatment""')]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
1869,"The license was suspended Feb. 29, two days after health investigators announced that unsafe practices meant that 40,000 patients should get tested for hepatitis and HIV, the virus that causes AIDS.",CauseNet-cause.csv,Intrasentencial,"[('virus', 'aids')]",explicit,No,"['cause', 'causes']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
5080,"Montier used six inputs in the calculation. These inputs included a growing difference between net income and cash flow from operations, increasing receivable days, growing day's sales of inventory, increasing other current assets, decrease in depreciation relative to gross property plant and equipment, and high total asset growth. Novice investors might be striving to create a trading strategy that produces results in the equity market.",fincausal.csv,intrasentencial,"[('growing difference between net income and cash flow', 'red flag in financial health'), ('increasing receivable days', 'potential collection issues'), ('growing day‚Äôs sales of inventory', 'slower inventory turnover'), ('increasing other current assets', 'possible earnings manipulation'), ('decrease in depreciation vs. gross pp&e', 'inflated earnings'), ('high total asset growth', 'increased financial risk')]",explicit,Yes,['results in'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
5386,"With an intervention that ensures everyone listens to jazz, the probability increases to 62% for lung cancer, demonstrating a clear increase rather than a decrease in the likelihood of developing lung cancer.",CausalBench_Text_Part.csv,Intrasentencial,"[('intervention ensures everyone listens to jazz', 'lung cancer probability increases')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
8790,"""Among emergency department patients with nontraumatic headache, certain warning signs—including changes in headache pattern, motor deficits, and altered consciousness—strongly predicted intracranial pathology. Recognition of these predictors can guide clinical imaging decisions, potentially preventing missed diagnoses.""",PubMed,Intersentential,"[(""warning signs"", ""predicted pathology""), (""recognition"", ""guide decisions""), (""guidance"", ""prevent missed diagnoses"")]",explicit,Yes,"""strongly predicted"", ""can guide"", ""potentially preventing""",2g,,,[],[],0.0,incorrect,incorrect,incorrect
8099,The friends' dinnertime conversation turned to politics. A debate erupted.,copa,Intersentential,"[(The friends' dinnertime conversation turned to politics.), (A debate erupted.)]",implicit,No,,2d,"[(""The friends' dinnertime conversation turned to politics"", 'A debate erupted')]",,['implicit'],['intersentential'],0.0,incorrect,correct,incorrect
4839,"New research conducted in Costa Rica reveals that insects are not actually attracted to artificial light at night but rather confused by it. Scientists observed insects circling artificial light sources, exhibiting a behavior known as dorsal light response, where they keep their backs to the light. This behavior suggests that insects mistake artificial light for the sky, which they use for navigation. The study disproves previous theories that insects are drawn to light for warmth or because they mistake it for the moon. Instead, artificial light disrupts their navigation, causing them to orbit the light source or exhibit other erratic flight patterns. This disruption can have detrimental effects on insect populations, impacting essential activities like pollination and mating. Researchers recommend reducing artificial light pollution to mitigate these negative effects on insects.",causalprobe.csv,intrasentencial,"[('artificial light at night', 'confusion in insect navigation'), ('confusion in insect navigation', 'insects orbit light source or fly erratically'), ('dorsal light response', 'insects keep their backs to artificial light'), ('mistaking artificial light for the sky', 'disrupted navigation'), ('disrupted navigation', 'negative impact on insect activities like pollination and mating'), ('artificial light pollution', 'threat to insect populations'), ('reducing artificial light pollution', 'mitigation of negative')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
4156,You should keep these records for as long as needed because they are important in figuring the basis of the property.,fincausal.csv,intrasentencial,"[('records are important in figuring the basis of the property', 'you should keep them for as long as needed')]",explicit,No,['because'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
5183,"- - - Flag as irrelevant - - - You have received this email because you have subscribed to Google Alerts. Unsubscribe - Receive this alert as RSS feed - Send Feedback Email ThisBlogThis!Share to TwitterShare to FacebookShare to Pinterest Newer Post Older Post Home Enter your email address: Dividend Yield - Stock, Capital, Investment Loading... - -",fincausal.csv,intrasentencial,"[('subscription to google alerts', 'receiving email alerts'), ('option to unsubscribe', 'stop receiving email alerts'), ('availability of rss feed', 'alternative way to receive alerts')]",explicit,Yes,['because'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
1593,al.[2] that he feels lend strong support to the hypothesis that HIV causes AIDS [3].,CauseNet-cause.csv,Intrasentencial,"[('hiv', 'aids')]",explicit,No,"['cause', 'causes']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
1163,"The second prebasic molt typically results in definitive plumage aspect, although some juvenal and/or formative feathers can be retained through the second cycle.",coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,"[('second prebasic molt', 'definitive plumage aspect')]",explicit,No,['results in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
402,"It can also increase your risk of heart disease, because second-hand smoke increases the formation of blood clots that can lead to heart attacks and stroke; raises your heart rate and damages your heart muscle; and lowers the level of protective HDL-cholesterol in your blood.",CauseNet-noncause.csv,Intrasentencial,"[('blood_clots', 'stroke')]",explicit,No,"['cause', 'lead to', 'because']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
7807,My stomach hurt. I ate birthday cake.,copa,Intersentential,"[(I ate birthday cake.), (My stomach hurt.)]",implicit,No,,2d,"[('I ate birthday cake', 'My stomach hurt')]",,['implicit'],['intersentential'],0.0,incorrect,correct,incorrect
8082,The man caught his shirtsleeve on the rungs of the fence. The sleeve ripped.,copa,Intersentential,"[(The man caught his shirtsleeve on the rungs of the fence.), (The sleeve ripped.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
722,Different interpretations of electron tomography imaging of thylakoid membranes has resulted in two models for grana structure .,medcaus.csv,Intrasentencial,"[('Different interpretations of electron tomography imaging of thylakoid membranes', 'two models for grana structure')]",explicit,No,['resulted in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
4191,"Given that lung cancer is caused by high tar deposits and smoking prevents tar deposits, the likelihood of a person having lung cancer is more probable if they were nonsmoking.",CausalBench_Text_Part.csv,intrasentencial,"[('hugh tar deposit', 'lung cancer'), ('smoking', 'absence of tar deposit'), ('non smoking', 'lung cancer')]",explicit,Yes,['caused'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
7680,"""The two properties that characterize all addictive stimuli are that they are reinforcing ( i.e. , they increase the likelihood that a person will seek repeated exposure to them ) and intrinsically rewarding ( i.e. , they are perceived as being inherently positive , desirable , and pleasurable).Addiction is a disorder of the brain 's reward system which arises through transcriptional and epigenetic mechanisms and develops over time from chronically high levels of exposure to an addictive stimulus ( e.g. , eating food , the use of cocaine , engagement in sexual activity , participation in high - thrill cultural activities such as gambling , etc . ) .""",medcaus.csv,Intrasentencial,"[('chronically high levels of exposure to an addictive stimulus.', 'development of addiction as a disorder of the brain‚Äôs reward system through transcriptional and epigenetic mechanisms.')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
383,Their investigation determines whether police committed a criminal offence during the incident that resulted in serious injury or death.,CauseNet-noncause.csv,Intrasentencial,"[('incident', 'death')]",explicit,No,['resulted in'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
1027,Thus ignorance is the root cause of vices.,coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,"[('ignorance', 'vices')]",explicit,No,['cause'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
812,Acute fatty liver of pregnancy and Reye 's syndrome are examples of severe liver disease caused by microvesicular fatty change .,medcaus.csv,Intrasentencial,"[('microvesicular fatty change', ""Acute fatty liver of pregnancy and Reye 's syndrome are examples of severe liver disease"")]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
6790,"Given the substantial difference in the probability of death (78% vs. 40%), a prisoner's death more likely follows the captain's decision to execute. This suggests that when a prisoner dies, it is more probable that the decision to execute, as opposed to release, was made.",CausalBench_Text_Part.csv,Intrasentencial,"[('""when a prisoner dies"",', '""it is more probable that the decision to execute, as opposed to release, was made""]')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
3360,"Working there, Lt. Charles Craig and Capt. Percy Ashburn proved that dengue, or ""breakbone,"" fever was caused by a virus.",CauseNet-cause.csv,Intrasentencial,"[('virus', 'fever'), ('virus', 'dengue')]",explicit,Yes,"['cause', 'caused']",2e,,,[],[],0.0,incorrect,incorrect,incorrect
7203,"Furthering the theme of scenario 38, After a city's implementation of noise pollution regulations, there was a reported increase in residents' quality of life. This period also saw the growth of urban green spaces and a decline in traffic congestion.",causalnet.csv,Intersentencial,"[('implementation of noise pollution regulations', 'increase in residents‚Äô quality of life'), ('implementation of noise pollution regulations', 'growth of urban green spaces and a decline in traffic congestion.')]",implicit,Yes,,2h,,,[],[],0.0,incorrect,incorrect,incorrect
3276,"Steroids in adults with acute bacterial meningitis: a systematic review; van de Beek D et al. ; Bacterial meningitis is uncommon but causes significant mortality and morbidity, despite optimum antibiotic therapy .",CauseNet-cause.csv,Intrasentencial,"[('bacterial_meningitis', 'mortality'), ('bacterial_meningitis', 'morbidity')]",explicit,Yes,"['cause', 'causes']",2e,"[('Bacterial meningitis', 'significant mortality and morbidity')]",,['explicit'],['intrasentential'],0.0,incorrect,correct,correct
3058,"Both smoking and obesity may cause certain illnesses which are life threatening....i.e., cancer, diabetes, etc. and yet, the insurance companies pick and choose where they will gain the most $!!",CauseNet-cause.csv,Intrasentencial,"[('smoking', 'illnesses'), ('obesity', 'illnesses')]",explicit,Yes,['cause'],2e,,,[],[],0.0,incorrect,incorrect,incorrect
8712,My office door was open. I overheard the conversation in the hall.,copa,Intersentential,"[(My office door was open.), (I overheard the conversation in the hall.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
7545,"One should also look at the policy's primary purpose to understand its key flaw. It's not here to lift people out of poverty, it's here to combat inequality.",fincausal.csv,Intrasentencial,"[('""look at the policy\'s primary purpose"",', '""to understand its key flaw""]')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
1844,"To date, funds have been distributed based on the prevalence of actual AIDS cases in a given area; the House bill (H.R. 4807) would also include persons infected with HIV, the virus which causes AIDS.",CauseNet-cause.csv,Intrasentencial,"[('virus', 'aids')]",explicit,No,"['cause', 'causes']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
6144,"Further developing scenario 6, Following the implementation of a new recycling program, a city noted a rise in community participation in environmental initiatives, but surprisingly, an increase in waste production was also observed.",causalnet.csv,Intrasentencial,"[('implementation of a new recycling program', 'increase in waste production'), ('rise in community participation in environmental initiatives', 'increase in waste production')]",implicit,Yes,,2f,"[('implementation of a new recycling program', 'a rise in community participation in environmental initiatives')]",,['implicit'],['intrasentential'],0.0,incorrect,correct,correct
7593,"U.N. chief Guterres sees the private sector as crucial to securing more ambitious pledges at Monday's Climate Action Summit in New York, which aims to boost the Paris deal before it enters a crucial implementation phase next year.",fincausal.csv,Intrasentencial,"[('""monday\'s climate action summit"",', '""to boost the paris deal before it enters a crucial implementation phase next year""]')]",implicit,No,,2b,"[('private sector', 'securing more ambitious pledges')]",,['implicit'],['intrasentential'],0.0,incorrect,correct,correct
1863,"Four people died in Washington, D.C. and Maryland from traffic accidents caused by slick roads.",CauseNet-cause.csv,Intrasentencial,"[('slick_roads', 'traffic_accidents')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
3412,"""The current approach to heart disease prevention focuses on only short-term risks, which can give a false sense of security, particularly to individuals in their 40s and 50s,"" said Dr. Jarett Berry, assistant professor of internal medicine at UT Southwestern Medical Center who was lead author of the study... Ovarian cancer is a major cause of death worldwide.",CauseNet-cause.csv,Intrasentencial,"[('ovarian_cancer', 'death')]",explicit,No,['cause'],2a,,,[],[],0.0,incorrect,incorrect,incorrect
8649,The boy's back ached. His backpack was heavy.,copa,Intersentential,"[(His backpack was heavy.), (The boy's back ached.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
56,"One possible reason for this could be due to the flawed idea that Goldenrod pollen is annoying to the ""allergy-prone,"" when in fact, the Goldenrod is falsely blamed for reactions caused by ragweed.",CauseNet-cause.csv,Intrasentencial,"[('ragweed', 'reactions')]",explicit,No,"['cause', 'caused', 'due to']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
8335,I baked an apple pie. A warm aroma filled the kitchen.,copa,Intersentential,"[(I baked an apple pie.), (A warm aroma filled the kitchen.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
270,Mallenby determined that these poor animals were suffering from a vitamin deficiency caused by starvation and lack of sunlight.,CauseNet-cause.csv,Intrasentencial,"[('starvation', 'vitamin_deficiency')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
1853,"At the trial, it was controverted whether Dr. Sataloff had told the plaintiff that there was an ""excellent chance"" that neomycin had caused the hearing loss or had stated causation in a more unequivocal fashion.",CauseNet-cause.csv,Intrasentencial,"[('neomycin', 'hearing_loss')]",explicit,No,"['cause', 'caused']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
7719,"""A method for fusing the sections of the lenses together was developed by Louis de Wecker at the end of the 19th century and patented by Dr. John L. Borsch , Jr. in 1908 .""",medcaus.csv,Intrasentencial,"[('louis de wecker‚Äôs development of a method for fusing lens sections.', 'patenting of the method by dr. john l. borsch, jr. in 1908.')]",implicit,No,,2b,,,[],[],0.0,incorrect,incorrect,incorrect
705,It can complicate psychotherapy severely because of the considerable difficulty in holding a fluent conversation .,medcaus.csv,Intrasentencial,"[('the considerable difficulty in holding a fluent conversation', 'It can complicate psychotherapy severely')]",explicit,No,"['cause', 'because']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
1008,"Use of CTD measurement for determination of sound velocity is appealing because these instruments are simpler and more rugged, and because their resolution, accuracy, and stability lead to far better precision than can be obtained with direct SV measuring devices.",coling22-mining-health-related-statements_sentence_test_causenet_evaluations.csv,Intrasentencial,"[('accuracy', 'far better precision')]",explicit,No,"['cause', 'lead to', 'because']",2a,,,[],[],0.0,incorrect,incorrect,incorrect
8327,The teenager snuck out of the house. His parents grounded him.,copa,Intersentential,"[(His parents grounded him.), (The teenager snuck out of the house.)]",implicit,No,,2d,,,[],[],0.0,incorrect,incorrect,incorrect
