sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"BPA was also positively correlated with insulin resistance (Matsuda index) in the PCOS group"" * Bisphenol A impairs the double-strand break repair machinery in the germline and causes chromosome abnormalities - Proc Natl Acad Sci U S A. 2010 Nov 8 - ""Bisphenol A (BPA) is a highly prevalent constituent of plastics that has been associated with diabetes, cardiovascular disease, and an increased risk of miscarriages in humans ... BPA exposure results in impaired chromosome synapsis and disruption of meiotic double-strand break repair (DSBR) progression.",CauseNet-cause.csv,,2,[],"['causes', 'results in']",explicit,"[('bpa_exposure', 'impaired_chromosome_synapsis'), ('bpa_exposure', 'disruption_of_meiotic_double-strand_break_repair')]",Yes
"We already know that smoking is the No. 1 cause of disease, suffering, and premature death.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('smoking', 'disease'), ('smoking', 'premature_death'), ('smoking', 'suffering')]",Yes
"The difference in the mortality rates of single mothers vs. mothers with partners was particularly acute for those whose deaths were caused by suicide, violence, or alcohol use, although the absolute number of deaths due to violence was small.",CauseNet-cause.csv,,2,[],"['caused', 'due to']",explicit,"[('suicide', 'deaths'), ('violence', 'deaths'), ('alcohol_use', 'deaths')]",Yes
"River Trips, LLC-Whitewater Expeditions & Tours-raftwet.com allowing me to participate on this trip, I voluntarily agree to release, discharge and hold harmless W.E.T.-W.E.T. River Trips-Whitewater Expeditions & Tours-raftwet.com and their owners, officers , agents, employees, Pacific Gas and Electric Company, Placer County Water Agency and Sacramento Municipal Utility District for any and all claims of liability arising out of their negligence, recklessness, strict liability, breach of contract, or any other act or omission which causes the undersigned illness, injury, death and damages of any nature in any way connected with my participation in this activity.",CauseNet-cause.csv,,2,['claims'],['causes'],explicit,"[('omission', 'injury'), ('omission', 'death')]",Yes
"Madhab Krishna Dass, L.M.S. (witness No. 158) a private practitioner in Calcutta, considers that smoking may cause dysentery, bronchitis, or asthma.",CauseNet-cause.csv,,3,[],['cause'],explicit,"[('smoking', 'bronchitis'), ('smoking', 'asthma')]",Yes
"Large, identical, tandem repeating units in the C protein alpha antigen gene, bca, of group B streptococci; Michel JL et al. ; Group B Streptococcus (GBS) is the leading cause of neonatal sepsis and meningitis in the United States .",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('group_b_streptococcus', 'neonatal_sepsis'), ('group_b_streptococcus', 'meningitis')]",Yes
"""Impaired energy metabolism in the brain is known to be tightly correlated with cognitive decline during aging and in subjects at high risk for developing neurodegenerative disorders,"" said Dr. ""This is the first evidence showing the potential benefits of decaffeinated coffee preparations for both preventing and treating cognitive decline caused by type 2 diabetes, aging, and/or neurodegenerative disorders.""",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('aging', 'cognitive_decline'), ('type_2_diabetes', 'cognitive_decline')]",Yes
"Someday ,God will win against Satan....and that part of Lucifer, which has been redeemed by Christ will be separated from Satan and all the evil and sin in the world will be cast away forever ___Not People... but the sin and wickedness that has caused all the pain and heartache, and death will be be NO more!!!",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('death', 'pain'), ('death', 'heartache')]",Yes
"Use Wound Dr. to treat and protect small wounds and stings, relieve pain caused by skin conditions and minor injuries, prevent infection of wounds and cuts on the skin, encourage healing of wounds, reduce inflammation and soothe insect stings and treat the symptoms of poison ivy.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('minor_injuries', 'pain'), ('skin_conditions', 'pain')]",Yes
"Oxygenating respirocytes offer complete or partial symptomatic treatment for virtually all forms of anemia, including acute anemia caused by a sudden loss of blood after injury or surgical intervention; secondary anemias caused by bleeding typhoid, duodenal or gastric ulcers; chronic, gradual, or post-hemorrhagic anemias from bleeding gastric ulcers (including ulcers caused by hookworm), hemorrhoids, excessive menstrual bleeding, or battle injuries in war zones; hereditary anemias including hemophilia, leptocytosis and sicklemia, thalassemia, hemolytic jaundice and congenital methemoglobinemia; chlorosis and hypochromic anemia, endocrine deficiency anemia, pernicious and other nutritional anemias; anemias resulting from infectious diseases including rheumatism, scarlet fever, tuberculosis, syphilis, chronic renal failure and cancer, or from hemoglobin poisoning such as by carbon monoxide inhalation; hemolytic anemias including chemical hemolysis (including malarial, snake bite, etc.), paroxysmal hemoglobinuria, and chronic hemolytic anemia from hypersplenism due to cirrhosis of the liver; leukemia and other idiopathic or toxic aplastic anemias caused by chemicals, radiation, or various antimetabolic agents; and diseases involving excessive red cell production such as polycythemia.",CauseNet-cause.csv,,2,[],"['caused', 'caused', 'caused', 'due to', 'caused']",explicit,"[('radiation', 'leukemia'), ('chemicals', 'leukemia')]",Yes
"I quote Ft. John L. Grady, Medical Examiner for Florida State Attorney's Office, I believe it can be stated with certainty that abortion causes more deep-seated guilt, depression and mental illness than it ever cures.",CauseNet-cause.csv,,2,['believe'],['causes'],explicit,"[('abortion', 'depression'), ('abortion', 'mental_illness')]",Yes
[Hypertension And Diabetes Stimulated By Excess Glucocorticoid]A research at Washington University School of Medicine in St. Louis has found out that steroids called glucocorticoids can cause hypertension and diabetes.,CauseNet-cause.csv,,2,[],['cause'],explicit,"[('steroids', 'diabetes'), ('steroids', 'hypertension')]",Yes
"Finally, toxicity may also be a direct physiological effect of the addicting drug itself (e.g., liver damage caused by alcohol) or to associated toxins (e.g., transmission of the human immunodeficiency virus by needle sharing among i.v. drug users, or carcinogens delivered by tobacco smoke).",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('alcohol', 'liver_damage'), ('toxins', 'liver_damage')]",Yes
"Together, the neurologist and ER physician examined Mrs. The neurologist then prescribed a medication called tissue plasminogen activator (tPA) - used only for strokes caused by clots or blockages.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('blockages', 'strokes'), ('clots', 'strokes')]",Yes
"This allowed for the development of a map spotlighting three cities (Knoxville, Tenn., Springfield, Mo. and Wichita, Kan.) that have the highest risk of damage caused by thunderstorms and tornadoes as well as two locations (New York City and Chicago) where power outages due to thunderstorms and tornadoes put large populations at risk.",CauseNet-cause.csv,,3,[],"['caused', 'due to']",explicit,"[('tornadoes', 'damage'), ('thunderstorms', 'damage')]",Yes
The National Law Journal reports that a physician for the plaintiffs involved in Summers v. Certainteed Corp. and Nybeck v. Union Carbide Corp. expressed that their illnesses were caused both by asbestos exposure as well as smoking.,CauseNet-cause.csv,,3,[],['caused'],explicit,"[('smoking', 'illnesses'), ('asbestos_exposure', 'illnesses')]",Yes
"of Specialty Carbons/Zeolite Blend that reduces odors caused by pets and other chemicals, gases and odors (e.g. ammonia and sulfuric acid) STAGE 4 - 60 ft. of True Medical Grade HEPA which removes pet... Research done by the Environmental Protection Agency (EPA) has concluded that indoor air can be 2-5 times more polluted than the air outdoors.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('pets', 'odors'), ('gases', 'odors')]",Yes
"Gastroenterologists from around the world address epidemiology; diagnosis; colonoscopy; mild vs. severe IBS; pathophysiology; the role of stress; whether anxiety or depression can cause IBS; associations with other medical conditions like celiac disease and pelvic floor dysfunction; dietary interventions; the role of probiotics, fiber, and antidepressants; and the use of acupuncture, hypnotherapy, behavioral therapy, and new therapies.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('anxiety', 'ibs'), ('depression', 'ibs')]",Yes
"The method according to claim 15 wherein said patient is afflicted with a disorder caused by infection, rheumatoid arthritis, Lyme's arthritis, gout, sepsis syndrome, hyperthermia, ulcerative colitis, enterocolitis, osteoporosis, cytomegalovirus, periodontal disease, glomerulonephritis, chronic non-infectious inflammation of the lung, sarcoidosis, smoker's lung, granuloma formation, fibrosis of the liver, fibrosis of the lung, transplant rejection, graft vs. host disease, chronic myeloid leukemia, acute myeloid leukemia, neoplastic diseases, asthma bronchiale, type I insulin dependent diabetes mellitus, arteriosclerosis, atherosclerosis, psoriasis, chronic B lymphocyte leukaemia, common variable immunodeficiency, disseminated intravascular coagulation, systemic sclerosis, encephalomyelitis, lung inflammation, hyper IgE syndrome, cancer metastasis, cancer growth, adoptive immune therapy, acquired respiratory distress syndrome, sepsis, reperfusion syndrome, postsurgical inflammation, organ transplantation, or alopecia.",CauseNet-cause.csv,,2,['claim'],['caused'],explicit,"[('infection', 'disorder'), ('osteoporosis', 'disorder'), ('rheumatoid_arthritis', 'disorder')]",Yes
"The three main causes of cancer are smoking, dietary imbalances (excess fat and calories; inadequate intake of fruits, vegetables, fiber, and calcium), and chronic infections leading to chronic inflammation (hepatitis B and C viruses, Helicobacter pylori infection, schistosomiasis, etc.).",CauseNet-cause.csv,,2,[],"['causes', 'leading to']",explicit,"[('smoking', 'cancer'), ('chronic_infections', 'chronic_inflammation')]",Yes
Modulation of gut physiology through enteric toxins; Kaur T et al. ; Diarrheal diseases caused by microorganisms and their toxins are a major cause of mortality and morbidity throughout the world .,CauseNet-cause.csv,,2,[],"['caused', 'cause']",explicit,"[('diarrheal_diseases', 'morbidity'), ('diarrheal_diseases', 'mortality')]",Yes
A similar formula is marketed by Dr. Richard Loyd of royalrife.com to combat viruses associated with cancer since it is a premier formula to combat any virus at a deep level such as necessary to fight cancer or other illnesses which may be caused or exacerbated by viruses and to build deep immunity without the direct white blood cell stimulating effects of echinacea making it valuable to fight chronic maladies.,CauseNet-cause.csv,,2,[],"['since', 'caused']",explicit,"[('viruses', 'illnesses'), ('cancer', 'viruses')]",Yes
"Steroids in adults with acute bacterial meningitis: a systematic review; van de Beek D et al. ; Bacterial meningitis is uncommon but causes significant mortality and morbidity, despite optimum antibiotic therapy .",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('bacterial_meningitis', 'mortality'), ('bacterial_meningitis', 'morbidity')]",Yes
"He further asserted that he discussed with J.E. ""her condition on a daily basis and he monitored her condition through daily interactions,"" and that ""[h]e used several different pain medications, anti-inflammatory medication, and antibiotics in association with her pain caused by her Trigeminal Neuralgia and dental problems.""",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('trigeminal_neuralgia', 'pain'), ('dental_problems', 'pain')]",Yes
"Operation C.A.R.E. is a state-sponsored, national program designed to reduce crashes, fatalities and injuries caused by speeding, impaired driving and failure to use occupant restraints.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('speeding', 'crashes'), ('impaired_driving', 'crashes')]",Yes
"According to the investigation, among the approved sales to Iraq was the often fatal anthrax bacterium; the botulinum toxin, which causes vomiting, constipation, thirst, general weakness, headache, fever, dizziness, double vision, dilation of the pupils, and paralysis of the muscles involving swallowing; and Histoplasma capsulatum, which can lead to pneumonia and enlargement of the liver and spleen and is often fatal; see Donald W. Riegle Jr. and Alphonse M. D'Amato, "" A Report of the Committee of Banking, Housing and Urban Affairs with Respect to Export Administration, US Chemical and Biological Warfare-Related Dual Use Exports to Iraq and Their Possible Impact on the Health Consequences of the Persian Gulf War with Respect to May 25, 1994,"" www.gulflink.osd.mil/medsearch/FocusAreas/riegle_report/report/report_s01.htm#Chapter%201.",CauseNet-cause.csv,,2,[],"['causes', 'lead to']",explicit,"[('histoplasma_capsulatum', 'pneumonia'), ('botulinum_toxin', 'double_vision')]",Yes
"When Craun, et al. (1997) reviewed information from reported waterborne disease outbreaks from 1983 to 1992, they found that coliforms were detected during most of the outbreaks that were caused by bacteria, viruses, and unidentified agents, but they were found only during few of the outbreaks caused by protozoa.",CauseNet-cause.csv,,2,[],"['caused', 'caused']",explicit,"[('bacteria', 'outbreaks'), ('viruses', 'outbreaks'), ('unidentified_agents', 'outbreaks')]",Yes
"He agreed with Dr. Burns that alcohol, depressants, inhalants, and PCP may cause nystagmus.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('alcohol', 'nystagmus'), ('pcp', 'nystagmus')]",Yes
"This warranty is voided if defects, malfunctions or failures of the warranted Product are caused by damage resulting from force majeure (such as floods, fire, etc.), environmental and atmospheric disturbances, other external forces such as power line disturbances, host computer malfunction, plugging the board in under power, or incorrect cabling; or the warranted Product is misused, abused, or operated, altered and repaired in an unauthorized or improper way.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('force_majeure', 'damage'), ('damage', 'defects'), ('external_forces', 'damage')]",Yes
Infectious complications in chronic lymphocytic leukaemia; Morra E et al. ; Infections are the major cause of morbidity and mortality in patients with chronic lymphocytic leukemia (CLL) .,CauseNet-cause.csv,,2,[],['cause'],explicit,"[('infections', 'mortality'), ('infections', 'morbidity')]",Yes
"This is in part because injury is associated with reduced blood flow, and reduced blood flow causes lack of oxygen and accumulation of carbon dioxide, which lowers the pH. Primarily the investigators were interested in bone injury.",CauseNet-cause.csv,,2,[],"['because', 'causes']",explicit,"[('injury', 'reduced_blood_flow'), ('reduced_blood_flow', 'lack_of_oxygen')]",Yes
"An aloe vera base is combined with the natural Dr. Alkaitis Eye Renewal and Eye Rejuvenation Support Complexes to uniquely target dark circles, puffiness and lines while helping to protect against environmental damage caused by UVA and UVB rays, wind and pollution.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('pollution', 'environmental_damage'), ('uvb_rays', 'environmental_damage'), ('uva', 'environmental_damage')]",Yes
"We, the Jurors, summoned to appear before the Coroner of Los Angeles County at room 102, Hall of Justice, Los Angeles County, California, on the 22nd day of January A.D. 1947, to inquire into the cause of the death of Elizabeth Short, having been duly sworn according to law, and having made such inquisition and hearing the testimony adduced, upon our oaths, each and all do say that we find that the deceased was named Elizabeth Short, a female, single, native of Mass., aged about 22 years, and that she came to her death found on the 15th day of January, 1947 at Norton St. Between 39th and Coliseum Drive, Los Angeles, Los Angeles County, California, and that this death was caused by hemorrhage and shock due to concussion of the brain and lacerations of face; and from the testimony introduced we find said injuries to have been inflicted on the deceased by some person or persons unknown at this time to this jury and at some location unknown to this jury; and we find this to be a homicide and recommend that every effort be made to apprehend the perpetrator or perpetrators responsible therefor, all of which we duly certify by this inquisition in writing, by us signed this 22nd day of January, 1947.",CauseNet-cause.csv,,3,[],"['cause', 'caused', 'due to']",explicit,"[('shock', 'death'), ('hemorrhage', 'death')]",Yes
"Such negligence was the proximate cause of such fires and explosions and the injuries of which Plaintiffs complain."" """,CauseNet-cause.csv,,2,[],['cause'],explicit,"[('negligence', 'fires'), ('negligence', 'explosions')]",Yes
"The scientific basis of the connection between lack of sanitation and infectious diseases was provided by Louis Pasteur, Robert Koch, Elie Metchnikoff and other 'microbe hunters' who established that these diseases are caused by micro-organisms, viz. bacteria, fungi and viruses.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('viruses', 'diseases'), ('fungi', 'diseases'), ('micro-organisms', 'diseases')]",Yes
"The USDA has designated 40 counties in Texas as primary natural disaster areas due to losses caused by drought, excessive heat, high winds and wildfires that occurred during the period of Jan. 1, 2011, and continues.",CauseNet-cause.csv,,2,[],"['due to', 'caused']",explicit,"[('drought', 'losses'), ('high_winds', 'losses'), ('wildfires', 'losses')]",Yes
"According to Drs. Michael and Mary Eades of Protein Power, insulin resistance causes high blood pressure, elevated cholesterol levels, coronary artery disease (heart disease), obesity, Type II diabetes and a host of other diseases and disorders.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('insulin_resistance', 'obesity'), ('insulin_resistance', 'type_ii_diabetes'), ('insulin_resistance', 'high_blood_pressure')]",Yes
"In the control group, HSV-1 was a more common cause of genital disease than HSV-2 (21 cases caused by HSV-1 vs. 14 cases caused by HSV-2).",CauseNet-cause.csv,,2,[],"['cause', 'caused', 'caused']",explicit,"[('hsv-2', 'hsv-1'), ('hsv-1', 'genital_disease')]",Yes
"TruTech Inc. and Skunk Removal of Middleburg Florida is a full-service Skunk Removal Company that will assist you with problems caused by Skunks, Snakes, Squirrles, Raccoons, Birds, Fox, Skunks, Deer, Geese, Groundhogs, Opossums, Rabbits, Chipmunks and more.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('deer', 'problems'), ('geese', 'problems'), ('birds', 'problems'), ('raccoons', 'problems'), ('snakes', 'problems'), ('rabbits', 'problems'), ('skunks', 'problems'), ('groundhogs', 'problems'), ('chipmunks', 'problems')]",Yes
"The clinical trial -- called the Age-Related Eye Disease Study (AREDS) -- was sponsored by the National Eye Institute (NEI), one of the Federal government's National Institutes of ""This is an exciting discovery because, for people at high risk for developing advanced AMD, these dietary supplements are the first effective treatment to slow the progression of the disease,"" said Paul A. ""AMD is a leading cause of visual impairment and blindness in Americans 65 years of age and older.",CauseNet-cause.csv,,2,[],"['because', 'cause']",explicit,"[('amd', 'blindness'), ('amd', 'visual_impairment')]",Yes
"The British scientists reported widespread acceptance of causation: With one exception (H.S.N. Greene) [not formally affiliated with any tobacco company] the individuals with whom we met believed that smoking causes lung cancer if by ""causation"" we mean any chain of events which leads finally to lung cancer and which involves smoking as an indispensable link.",CauseNet-cause.csv,,2,['believed'],"['causation', 'causes', 'causation']",explicit,"[('smoking', 'lung_cancer'), ('chain_of_events', 'lung_cancer')]",Yes
"United Natural Foods, Inc. is recalling this product dated 11 6 11 because it has the potential to be contaminated with Clostridium botulinum, a bacterium which can cause life-threatening illness or death.",CauseNet-cause.csv,,2,[],"['because', 'cause']",explicit,"[('bacterium', 'death'), ('bacterium', 'life-threatening_illness')]",Yes
"* Methicillin-Resistant Staphylococcus aureus Infections Among Competitive Sports Participants - Colorado, Indiana, Pennsylvania, and Los Angeles County, 2000-2003 (MMWR Weekly, Aug. 22, 2003) The potential of MRSA infections among sports participants; the need for health-care providers to be aware that skin and soft tissue infections occurring in these settings might be caused by MRSA; and the importance of implementing prevention measures by players, coaches, parents and school and team administrators.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('mrsa', 'skin'), ('mrsa', 'soft_tissue_infections')]",Yes
"The resistance which occurs when taking the step may be caused by air resistance, gravity, inertia, etc. and, as a movement, the step is forced forward by a body.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('inertia', 'resistance'), ('gravity', 'resistance')]",Yes
"Four Star Wire & Cable, Inc. cannot warranty defects or damage caused by misuse or abuse.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('abuse', 'damage'), ('misuse', 'damage')]",Yes
"Chandler, petition (accompanied by bill, Senate, No. 1649) of Peisch, Knapik and Chandler for legislation relative to injury caused by poles, wires, cables and apparatus [Joint Committee on Telecommunications, Utilities and Energy].",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('poles', 'injury'), ('wires', 'injury')]",Yes
"At The Law Offices of Paul M. Goodson, P.C. our legal team represents individuals and families involved in cases of personal injury caused by the negligence, carelessness, or recklessness of others.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('negligence', 'personal_injury'), ('carelessness', 'personal_injury')]",Yes
"Both smoking and obesity may cause certain illnesses which are life threatening....i.e., cancer, diabetes, etc. and yet, the insurance companies pick and choose where they will gain the most $!!",CauseNet-cause.csv,,3,[],['cause'],explicit,"[('smoking', 'illnesses'), ('obesity', 'illnesses')]",Yes
